y,x
117.612,395.116
135.546,430.536
167.998,451.144
164.582,399.624
170.133,412.504
217.103,606.348
73.631,520.696
179.527,334.58
177.392,331.36
95.835,635.972
171.841,411.86
221.373,465.312
75.766,389.32
231.621,385.456
218.811,418.3
192.764,409.284
109.499,487.208
206.428,321.7
111.634,581.876
199.169,309.464
215.822,479.48
232.902,299.16
196.18,540.016
194.472,460.16
227.351,447.28
115.477,433.756
133.411,404.132
235.037,361.628
238.88,487.208
229.059,450.5
109.072,73.116
127.86,348.748
150.918,480.124
78.328,329.428
132.13,298.516
185.505,520.052
111.634,320.412
246.566,397.692
368.688,508.46
385.341,495.58
245.285,279.196
231.621,273.4
247.42,342.952
272.186,350.68
180.808,519.408
136.827,433.112
127.006,246.996
143.659,495.58
304.211,518.764
51,614.72
57.405,511.68
62.956,468.532
188.921,355.832
74.912,391.896
227.351,499.444
89.43,421.52
223.508,380.948
100.105,570.928
180.808,554.828
115.477,342.308
163.728,309.464
247.847,520.696
169.224,610.024
203.384,344.696
89.802,653.816
211.07,281.584
266.58,325.376
138.48,226.844
131.648,455.464
96.207,188.848
90.656,103.84
170.078,423.264
94.926,482.512
162.392,337.612
182.888,373.032
193.99,548.2
214.913,362.728
131.276,450.5
111.207,387.388
112.915,378.372
234.61,364.204
202.158,364.848
197.034,525.204
142.805,460.16
85.16,452.432
188.067,332.004
257.241,406.708
324.28,503.308
67.653,500.088
96.689,594.112
175.257,390.608
130.422,533.576
130.422,442.772
131.276,459.516
113.342,555.472
161.166,489.14
130.422,474.972
63.383,456.94
159.458,558.048
94.981,427.96
189.775,414.436
126.152,388.032
166.29,427.96
162.02,597.332
229.913,474.972
118.466,505.884
60.821,479.48
167.144,519.408
125.298,426.028
116.758,418.944
188.067,301.736
146.221,405.42
102.667,424.096
77.474,389.964
112.061,500.088
134.265,335.868
128.714,597.332
140.243,354.544
147.929,404.776
74.058,427.96
211.552,489.14
194.045,491.716
70.215,392.54
100.959,272.756
74.912,457.584
137.681,587.672
164.582,496.868
136.827,433.112
116.758,507.816
158.604,455.652
87.722,349.392
93.273,153.616
206.428,347.46
157.75,316.548
84.306,451.144
185.505,532.288
214.114,435.688
220.519,445.992
191.483,440.84
119.32,549.676
217.103,440.84
138.535,455.008
281.58,563.844
312.751,286.924
79.554,428.416
79.981,488.308
143.604,584.264
87.24,255.18
148.301,244.232
98.342,264.84
68.452,440.652
138.48,326.02
258.04,88.384
159.83,306.056
91.937,497.324
151.29,584.264
67.598,525.66
99.196,271.28
157.75,601.84
193.618,668.172
250.409,512.324
74.912,482.056
187.213,529.712
162.447,393.184
263.219,460.804
276.456,468.532
410.107,225.1
138.962,395.76
149.637,675.256
60.821,256.656
99.678,348.748
104.375,558.048
97.97,431.824
101.386,544.524
198.742,549.032
177.819,574.148
335.382,486.564
151.772,518.764
146.648,549.032
70.642,528.424
101.813,533.576
117.612,650.784
83.879,361.628
80.036,443.416
123.59,485.92
108.218,544.524
320.437,442.128
246.566,574.792
86.014,431.824
295.244,554.828
191.056,402.844
217.103,455.652
188.494,675.256
191.91,652.716
178.246,561.912
162.874,477.548
137.681,215.44
105.656,145.244
155.188,409.928
148.728,496.68
50.518,427.772
53.08,509.56
185.877,612.6
63.755,410.384
136.345,506.984
188.012,461.904
98.769,491.528
208.508,94.18
224.734,97.4
206.373,89.672
90.284,548.388
139.389,479.48
84.733,75.692
165.009,209.644
277.737,457.584
117.612,353.256
199.596,520.052
234.61,502.664
170.133,384.168
269.197,648.852
197.034,324.276
119.747,518.764
80.463,223.812
300.795,461.448
69.361,500.732
127.006,465.312
203.439,545.168
129.995,601.196
211.979,436.976
201.304,547.1
109.499,460.804
189.348,511.68
127.433,515.544
194.472,521.984
194.899,426.672
136.827,408.64
61.675,436.332
138.962,479.48
82.171,348.104
183.37,393.828
178.673,341.664
67.226,321.7
240.161,386.1
122.309,341.664
229.486,434.4
149.637,623.092
171.414,409.284
71.069,409.284
218.384,315.26
117.612,443.416
264.5,543.88
349.473,298.516
225.643,352.612
137.681,201.272
194.899,338.444
131.703,415.724
149.637,329.428
169.279,420.876
169.279,349.392
196.18,449.856
212.833,452.432
162.447,446.636
229.913,448.568
150.491,451.788
127.433,444.06
61.62,473.496
132.929,534.676
145.312,242.3
100.477,137.328
157.268,291.888
98.769,429.704
55.642,259.688
41.124,366.592
86.813,228.776
244.376,257.756
57.35,227.488
97.915,330.528
135.918,315.072
154.279,372.388
185.877,389.776
159.83,316.36
195.271,275.788
167.516,309.92
138.48,281.584
147.02,383.336
266.58,635.14
219.183,622.26
139.334,279.008
47.102,195.932
127.378,389.776
97.97,309.464
185.932,382.88
186.786,346.172
176.965,342.308
116.331,471.752
85.587,568.352
78.755,675.9
193.191,275.332
220.946,505.24
204.72,545.168
188.494,534.22
195.326,471.752
110.78,464.668
64.664,424.096
62.102,444.704
131.276,296.584
77.474,403.488
153.053,634.04
170.133,320.412
206.001,409.284
152.199,520.696
62.956,670.748
199.169,314.616
171.414,552.896
92.419,340.376
122.309,586.384
139.389,201.916
71.496,290.788
121.028,499.444
76.193,566.42
334.528,357.12
369.115,554.184
103.521,328.784
60.394,539.372
69.788,283.704
155.188,415.724
87.295,414.436
104.375,480.124
223.081,553.54
124.017,521.984
88.576,554.184
119.747,305.6
97.97,605.06
195.753,407.996
147.075,460.16
56.551,120.128
65.945,275.332
81.744,433.112
91.992,412.504
77.901,474.328
244.004,286.28
217.53,537.44
155.615,405.42
235.037,355.832
186.786,424.096
229.486,540.66
123.163,386.744
115.477,689.424
100.105,441.484
99.251,417.656
116.331,547.1
109.499,626.312
53.934,521.152
118.838,593.28
72.722,614.532
162.874,398.336
106.083,653.36
111.207,334.58
177.819,538.084
162.874,337.156
125.298,520.696
343.495,300.448
67.226,402.844
51,430.536
240.161,506.528
197.034,507.816
175.684,394.472
167.998,462.092
259.376,516.188
84.678,624.836
71.014,640.936
137.626,187.56
76.992,473.496
186.731,164.376
269.996,55.54
182.461,292.532
251.208,585.552
65.463,276.432
321.236,400.724
131.221,598.432
191.91,309.464
110.78,350.68
