y,x
173.549,308.176
173.549,313.328
213.26,419.588
340.506,418.944
261.511,248.284
263.646,336.512
335.809,315.904
301.222,311.396
244.004,222.524
430.176,300.448
310.189,362.916
296.952,423.452
114.196,399.624
185.932,473.04
197.461,489.784
316.167,368.712
222.654,395.76
325.134,477.548
308.908,338.444
206.001,413.792
289.266,377.728
263.646,310.752
158.604,396.404
211.125,281.772
327.696,252.792
167.998,326.208
313.178,407.996
319.583,323.632
257.668,382.88
162.874,260.52
180.808,308.176
322.999,451.788
154.761,230.896
313.605,482.056
319.156,471.752
227.351,317.192
166.29,169.072
310.189,401.556
253.825,262.452
311.043,347.46
208.563,272.756
327.696,395.76
178.673,286.28
325.561,427.316
220.092,472.396
221.373,483.988
319.583,467.244
362.283,396.404
378.936,406.708
208.563,420.876
173.549,403.488
262.365,479.48
203.439,399.624
384.914,447.924
199.169,453.076
351.608,357.12
222.654,308.176
196.607,263.096
227.778,268.248
235.409,232.64
185.023,130.888
181.18,225.556
452.752,299.616
172.64,136.684
143.177,294.464
118.411,303.48
142.323,378.184
113.287,125.736
201.676,265.484
67.171,300.904
214.913,288.668
84.678,322.8
156.414,284.804
84.678,331.172
293.481,114.788
214.913,288.668
91.51,322.156
177.764,313.784
196.979,253.892
84.678,331.172
165.808,307.344
136.345,373.032
104.747,263.552
457.449,168.24
269.624,385.456
170.56,306.244
466.044,418.944
331.112,295.94
267.062,346.172
356.732,382.88
341.787,359.696
164.155,440.84
97.543,470.464
160.312,209.644
200.023,327.496
340.079,502.664
175.257,350.036
241.442,392.54
337.09,477.548
202.585,326.852
199.169,333.936
426.76,353.256
167.943,54.252
254.624,370.456
119.692,325.376
272.558,99.976
217.475,340.832
220.519,287.568
203.012,390.608
299.087,178.732
284.087,163.732
230.285,286.736
458.358,319.124
330.685,404.776
324.707,453.72
345.63,465.312
369.542,193.544
407.972,471.752
394.308,547.1
424.625,560.624
442.132,449.856
293.481,280.296
370.768,510.204
379.308,532.1
354.542,178.544
325.079,493.46
445.493,313.784
