y,x
211.979,408.64
277.31,529.068
215.822,268.892
62.956,199.984
196.18,245.064
144.086,326.208
305.919,473.04
128.714,498.156
53.562,657.868
264.927,259.232
74.912,474.328
191.91,477.548
226.07,551.608
136.827,477.548
130.849,512.968
152.199,487.208
130.422,425.384
86.868,250.86
56.551,307.532
124.444,353.256
103.521,500.088
80.89,250.86
91.565,230.896
76.193,459.516
108.218,441.484
194.899,653.36
253.825,341.02
234.183,650.14
223.935,254.08
203.866,473.04
144.086,471.752
62.529,333.936
162.02,591.536
221.373,483.988
157.75,536.796
155.188,545.168
80.89,302.38
144.086,531
109.871,465.768
191.001,391.064
118.411,622.904
117.984,662.188
138.48,440.652
180.326,413.604
201.676,581.688
231.993,206.236
264.445,235.216
53.08,290.6
65.89,434.212
266.58,184.984
201.676,104.484
51.372,229.42
176.056,373.032
49.664,189.492
148.728,294.464
43.259,295.752
231.139,600.364
147.447,476.072
136.772,277.72
206.855,506.528
98.824,350.036
122.309,458.228
163.301,480.124
84.306,431.18
69.788,496.224
277.31,509.748
68.934,483.988
83.879,488.496
91.565,543.236
103.094,538.728
128.714,273.4
91.138,467.888
184.224,476.904
249.982,504.596
196.18,436.976
172.268,436.332
106.083,426.028
210.271,491.072
67.653,379.016
80.89,451.144
68.934,446.636
209.844,404.132
89.003,413.792
71.069,544.524
163.301,359.052
106.083,417.012
139.389,351.968
163.301,312.04
173.976,335.224
227.351,326.208
146.648,504.596
67.226,460.804
104.802,411.216
155.615,422.808
154.761,212.864
65.518,457.584
142.805,473.04
71.923,487.852
96.262,457.584
217.957,472.396
269.624,521.984
112.915,494.292
100.105,313.972
269.197,514.256
141.524,477.548
282.434,478.836
150.064,346.816
297.806,501.376
226.497,263.74
229.858,526.304
114.141,605.516
183.742,333.748
101.331,466.412
54.361,454.176
149.582,199.152
198.26,267.416
129.513,451.6
173.067,186.272
218.756,503.12
115.849,150.208
218.329,643.512
226.442,443.228
252.489,235.86
142.75,488.308
76.565,475.428
50.518,508.272
136.4,283.704
184.224,447.28
154.334,683.628
149.637,324.276
388.757,362.272
353.743,551.608
226.497,442.128
122.309,419.588
112.915,425.384
191.056,456.296
131.703,541.304
305.919,509.104
188.921,458.228
132.13,411.86
228.632,239.912
127.006,275.332
232.048,425.384
312.324,250.86
439.143,682.984
461.347,611.5
380.644,344.884
253.398,389.32
346.911,284.992
357.586,295.296
400.286,428.604
294.39,274.688
204.238,483.8
179.045,497.324
179.045,497.324
85.959,584.264
277.255,517.288
73.576,388.488
48.81,306.056
104.747,445.16
398.096,657.036
302.448,400.724
188.439,526.304
173.494,173.392
52.653,434.856
47.529,231.996
50.518,281.584
49.664,434.212
57.35,250.028
332.338,384.624
239.252,387.2
279.39,78.724
324.652,522.44
89.375,342.12
216.194,63.912
366.925,539.184
328.922,279.652
121.4,230.064
188.439,471.564
430.548,645.444
205.946,512.136
110.298,501.188
183.37,440.84
211.979,465.312
128.714,435.044
205.147,317.192
98.397,318.48
148.356,459.516
115.477,423.452
220.092,525.848
200.877,502.02
145.367,491.716
134.265,338.444
220.519,499.444
252.544,498.156
121.455,404.776
115.477,465.956
238.453,237.336
67.653,527.78
213.26,551.608
85.587,319.124
183.37,588.96
283.715,514.9
226.497,498.156
295.244,503.952
250.836,212.22
201.304,413.792
152.626,540.016
89.857,420.232
301.222,526.492
122.309,405.42
223.081,475.616
217.103,480.768
94.981,408.64
173.976,456.296
155.615,469.176
266.635,470.464
207.282,491.716
231.194,491.716
160.739,311.396
127.006,431.18
290.547,392.54
304.211,429.248
206.001,344.884
345.63,341.02
226.07,300.448
273.894,447.28
236.745,388.676
315.74,480.768
217.957,460.804
217.957,460.16
255.96,386.744
295.671,396.404
203.866,476.904
385.341,299.16
232.475,382.88
230.767,352.612
317.021,409.284
220.519,476.26
202.158,321.056
177.392,396.404
217.957,411.216
229.059,319.124
195.326,318.48
242.723,427.316
325.134,330.716
223.935,479.48
218.811,448.568
317.875,498.156
344.349,179.376
239.734,397.692
244.431,390.608
245.712,470.464
222.654,481.412
234.61,497.512
167.998,478.836
158.177,483.344
188.067,320.412
285.85,268.248
206.373,611.956
241.814,436.144
234.128,558.504
107.309,594.568
167.516,302.192
94.072,230.064
282.379,505.696
210.216,532.744
201.676,275.144
289.638,269.992
187.158,299.616
74.003,306.056
73.149,418.112
151.29,296.396
109.444,433.568
194.417,245.52
275.974,272.568
244.376,370.456
176.91,320.224
384.914,486.564
434.446,523.916
443.413,326.852
370.396,311.396
424.198,471.752
448.537,322.988
404.129,405.42
432.738,401.556
399.432,511.68
318.302,502.02
375.947,552.896
344.776,281.128
396.016,672.68
336.236,500.732
413.523,353.256
457.931,413.792
335.382,473.04
449.391,523.916
385.341,219.948
347.765,327.496
388.33,476.904
269.197,368.712
382.779,476.26
383.633,510.392
308.481,490.428
376.374,333.292
340.506,491.072
340.079,559.336
314.459,518.12
434.873,453.076
367.834,519.408
467.325,537.44
416.939,610.212
365.699,314.616
348.192,333.936
466.471,404.776
425.479,406.064
291.828,403.488
306.346,492.36
301.649,503.308
401.567,608.28
407.972,626.956
460.493,165.208
412.669,435.044
445.975,592.824
398.578,559.98
462.628,578.656
315.74,241.844
352.035,417.656
466.471,431.824
346.911,330.716
451.099,639.836
396.87,317.836
404.983,326.852
465.19,328.14
447.256,412.504
447.256,379.66
463.482,554.184
327.696,399.624
344.349,343.596
373.385,336.512
379.363,420.876
356.305,424.096
162.02,350.68
153.48,431.824
62.529,499.444
374.184,255.824
394.253,571.384
444.212,651.24
402.366,233.928
385.286,383.336
445.493,608.092
386.994,241.656
208.935,175.968
